2026-07-01 09:58:09 | DEBUG    | test | This is a DEBUG message
2026-07-01 09:58:09 | INFO     | test | This is an INFO message
2026-07-01 09:58:09 | WARNING  | test | This is a WARNING
2026-07-01 09:58:09 | ERROR    | test | This is an ERROR
2026-07-01 14:48:04 | DEBUG    | validators | Validating order inputs...
2026-07-01 14:48:04 | DEBUG    | validators | Symbol validated: BTCUSDT
2026-07-01 14:48:04 | DEBUG    | validators | Side validated: BUY
2026-07-01 14:48:04 | DEBUG    | validators | Order type validated: MARKET
2026-07-01 14:48:04 | DEBUG    | validators | Quantity validated: 0.001
2026-07-01 14:48:04 | INFO     | validators | Inputs validated: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.001}
2026-07-01 14:48:04 | INFO     | orders | Placing MARKET BUY order for BTCUSDT
2026-07-01 14:48:04 | INFO     | client | BinanceClient initialized (Testnet)
2026-07-01 14:48:04 | DEBUG    | client | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782897484201, 'signature': '***'}
2026-07-01 14:48:05 | DEBUG    | client | Response: {'code': -2015, 'msg': 'Invalid API-key, IP, or permissions for action'}
2026-07-01 14:48:05 | ERROR    | client | API error 401: {'code': -2015, 'msg': 'Invalid API-key, IP, or permissions for action'}
2026-07-01 14:48:05 | ERROR    | orders | Order rejected by Binance — code: -2015, msg: Invalid API-key, IP, or permissions for action
2026-07-01 14:49:41 | DEBUG    | validators | Validating order inputs...
2026-07-01 14:49:41 | DEBUG    | validators | Symbol validated: BTCUSDT
2026-07-01 14:49:41 | DEBUG    | validators | Side validated: BUY
2026-07-01 14:49:41 | DEBUG    | validators | Order type validated: MARKET
2026-07-01 14:49:41 | DEBUG    | validators | Quantity validated: 0.001
2026-07-01 14:49:41 | INFO     | validators | Inputs validated: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.001}
2026-07-01 14:49:41 | INFO     | orders | Placing MARKET BUY order for BTCUSDT
2026-07-01 14:49:41 | INFO     | client | BinanceClient initialized (Testnet)
2026-07-01 14:49:41 | DEBUG    | client | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782897581216, 'signature': '***'}
2026-07-01 14:49:42 | DEBUG    | client | Response: {'code': -2015, 'msg': 'Invalid API-key, IP, or permissions for action'}
2026-07-01 14:49:42 | ERROR    | client | API error 401: {'code': -2015, 'msg': 'Invalid API-key, IP, or permissions for action'}
2026-07-01 14:49:42 | ERROR    | orders | Order rejected by Binance — code: -2015, msg: Invalid API-key, IP, or permissions for action
2026-07-01 14:52:10 | DEBUG    | validators | Validating order inputs...
2026-07-01 14:52:10 | DEBUG    | validators | Symbol validated: BTCUSDT
2026-07-01 14:52:10 | DEBUG    | validators | Side validated: BUY
2026-07-01 14:52:10 | DEBUG    | validators | Order type validated: MARKET
2026-07-01 14:52:10 | DEBUG    | validators | Quantity validated: 0.001
2026-07-01 14:52:10 | INFO     | validators | Inputs validated: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.001}
2026-07-01 14:52:10 | INFO     | orders | Placing MARKET BUY order for BTCUSDT
2026-07-01 14:52:10 | INFO     | client | BinanceClient initialized (Testnet)
2026-07-01 14:52:10 | DEBUG    | client | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782897730351, 'signature': '***'}
2026-07-01 14:52:11 | DEBUG    | client | Response: {'code': -2015, 'msg': 'Invalid API-key, IP, or permissions for action'}
